Price,Close,High,Low,Open,Volume
Ticker,AMC,AMC,AMC,AMC,AMC
Date,,,,,
2015-01-02,189.00270080566406,193.9434751438303,183.8407184229103,193.64850857987403,42090
2015-01-05,184.1356964111328,188.48652663907038,183.84072982887602,187.97031824174024,24650
2015-01-06,185.6105499267578,188.78149128869842,178.9737006236395,184.28317781568342,27150
2015-01-07,188.63401794433594,189.2977096609915,184.4306820812014,186.64296529887793,17540
2015-01-08,190.4775848388672,192.61614338501442,186.64297392046774,189.96139890027038,19280
2015-01-09,198.14678955078125,198.44175606670095,190.18255859393383,190.47752510985353,30600
2015-01-12,202.71885681152344,202.94009860958434,195.04961374003753,198.0730716108221,39880
2015-01-13,201.76022338867188,207.0696893303824,200.80155387517024,203.16133151893547,38240
2015-01-14,202.35015869140625,204.85740839915573,197.92559244084558,202.27641141966203,23710
2015-01-15,201.2439727783203,203.1612888985905,198.51550436114977,202.2763668416957,18700
2015-01-16,199.54791259765625,202.57137025153827,198.81048499936816,200.21159293521467,13250
2015-01-20,199.03172302246094,201.3177532933601,198.95797575478554,200.58032562561885,29430
2015-01-21,200.1378936767578,201.7602437839075,198.36807151728252,198.58929084802577,28450
2015-01-22,204.78366088867188,206.2585161417282,200.28534786594906,200.50656715210545,53690
2015-01-23,208.69198608398438,212.60034289930425,203.30877424333602,204.19367375583207,25850
2015-01-26,209.9456329345703,211.7154545574444,206.92217547222137,209.06071087088182,14770
2015-01-27,210.01937866210938,210.53558700156853,205.96352672337514,207.95459031328312,21070
2015-01-28,203.456298828125,211.1992897123395,202.57139908691929,210.16689542867906,14800
2015-01-29,208.3232879638672,208.39703522156924,200.58029849972345,203.3825142563741,15510
2015-01-30,207.3646697998047,209.94566664473004,204.5624311511818,206.99595596481535,12610
2015-02-02,208.54449462890625,210.01934967579953,200.9490001392068,208.54449462890625,32860
2015-02-03,213.92774963378906,218.27856793979632,206.70094570605272,209.50318406744182,76890
2015-02-04,216.14004516601562,217.90986699604687,213.48530116871598,213.48530116871598,64230
2015-02-05,217.02488708496094,217.46734805086953,214.8126047599175,217.17238157509698,13670
2015-02-06,216.95123291015625,217.39367151547327,214.81267463009178,217.17245221281476,10620
2015-02-09,221.080810546875,222.26069934156519,216.50877241114753,219.38473587635636,43460
2015-02-10,222.5556182861328,224.54668160760704,219.53218343393422,221.30200499496567,20680
2015-02-11,223.36679077148438,223.88299903604735,221.96568298774451,222.85060501142334,9490
2015-02-12,224.10426330566406,225.2104048052029,223.14561634119966,224.9154382395605,20830
2015-02-13,225.80035400390625,228.8237893461822,223.66179582882515,223.66179582882515,42130
2015-02-17,227.8651580810547,230.0774411692203,225.13666660384754,227.79141081054772,86110
2015-02-18,232.4371337890625,233.10081397188264,222.18687455912138,231.18349816245845,174030
2015-02-19,239.51644897460938,243.12986181837226,232.73212930802796,232.9533485617473,59490
2015-02-20,240.47512817382812,240.8438419482423,236.27178214370534,240.2538864064779,31470
2015-02-23,241.0650634765625,242.0974575537238,239.1477473306897,241.28630524599188,22000
2015-02-24,242.90870666503906,242.98245394407277,240.54895126752945,242.1712788837217,16490
2015-02-25,243.20364379882812,245.7846407206056,241.7287884149553,243.20364379882815,27740
2015-02-26,247.99688720703125,249.32427035937943,243.0561359027185,243.42484969428676,29370
2015-02-27,253.52760314941406,255.88738050166353,249.2505320160296,251.9052759111841,51240
2015-03-02,259.8695068359375,261.41810944639434,253.89633819817922,254.92875494148814,41770
2015-03-03,257.0672302246094,260.90183971032883,252.8638844855021,259.5744792161377,59920
2015-03-04,258.4683532714844,262.892918520069,256.3298179022357,257.5097064694254,28880
2015-03-05,258.6167297363281,261.06419753475393,257.35589927431704,259.95170805662286,34800
2015-03-06,251.8675994873047,258.76502457145585,251.4225992097601,256.76255727298667,28180
2015-03-09,258.6909484863281,259.9517792938575,251.64517986067435,252.3868397160063,18320
2015-03-10,250.680908203125,256.91084340688656,250.45841940906803,256.3916953428698,27770
2015-03-11,255.8726043701172,256.46592309490336,251.4968165322585,251.4968165322585,24460
2015-03-12,254.53758239746094,260.025858881061,250.90343227018292,257.578368634099,35050
2015-03-13,258.83917236328125,262.10246972307925,252.83172572725974,253.94421500675807,33620
2015-03-16,260.767578125,262.99255742191355,259.50674746995173,261.2867263807506,20380
2015-03-17,260.61920166015625,262.3250324692343,258.7650524983258,259.4325416698534,14760
2015-03-18,261.95416259765625,263.8083114760835,258.54252413461955,259.80333179175807,11400
2015-03-19,262.9183654785156,264.40168488883165,261.4350460681996,262.621706123184,22640
2015-03-20,264.6241149902344,265.95911574329233,262.54747733034816,263.2149663900507,28740
2015-03-23,265.95916748046875,267.9616350491173,264.1791887637842,264.77250745812665,12670
2015-03-24,259.21002197265625,266.32995843339995,258.7650217000496,265.7366171920398,17820
2015-03-25,255.94668579101562,260.3224721059525,254.76002612078258,260.099983320006,17680
2015-03-26,256.8367004394531,258.91336081889517,253.72174382077097,256.5400411377197,9420
2015-03-27,259.21002197265625,261.8058304902651,255.3533831216043,256.4658724862938,12570
2015-03-30,263.4375,264.6983077447201,260.0258612999749,261.1383507043099,23730
2015-03-31,263.2149658203125,266.3299449370523,260.7674983954833,262.9183065314927,20280
2015-04-01,257.8008728027344,264.1791496746137,253.4992336874418,262.3250007370705,32680
2015-04-02,260.9158020019531,261.8799729282841,257.05918619758427,257.7266752181816,11930
2015-04-06,262.399169921875,264.40165999069467,260.1741910159225,260.9900211415029,15600
2015-04-07,257.4300537109375,263.88247870148086,257.13339439533576,262.695841439074,17070
2015-04-08,261.0641174316406,262.0282656300591,256.24333117224955,257.9491387951897,22620
2015-04-09,254.01846313476562,259.95174110579666,252.90597351519733,257.72676186666,24010
2015-04-10,252.9059295654297,254.463419288898,252.38675877972182,254.1667599686315,11710
2015-04-13,248.0109405517578,249.7909188844423,242.15183483291398,247.86262222699807,44660
2015-04-14,249.8651123046875,251.94177274486236,246.8984739332845,250.45845355916086,23630
2015-04-15,251.49679565429688,255.94675362175602,251.1259658236753,252.16428482268444,7800
2015-04-16,247.41763305664062,252.16424970074755,247.04680327766894,251.1259308463575,9020
2015-04-17,243.26437377929688,245.93435314019132,237.776096702471,244.59935214291554,35430
2015-04-20,249.8651123046875,249.9392827907035,243.04185763065334,243.8576650758655,16350
2015-04-21,247.4918212890625,251.49677866245807,245.56350177338163,250.68094856347903,10340
2015-04-22,244.00599670410156,246.67597566285286,242.81933687425055,246.67597566285286,9500
2015-04-23,244.525146484375,245.56346525883748,241.18767873054088,244.74763528116992,17830
2015-04-24,243.7835235595703,246.23099122612697,242.07769287148537,244.59933102598575,13890
2015-04-27,237.62767028808594,246.60175367018172,234.29020294518122,243.78345696741067,38230
2015-04-28,240.1493377685547,243.11597577747395,236.51521073435893,237.701870464657,43420
2015-04-29,241.03939819335938,243.9318664449482,238.36941879433223,238.96276012392573,24350
2015-04-30,222.94290161132812,238.22109535942576,217.1579425978011,238.07275437177495,100610
2015-05-01,228.06027221679688,228.87610210755432,223.31365644373,224.35197510758067,42650
2015-05-04,226.1320343017578,228.95035469581998,220.56958664280842,228.95035469581998,40910
2015-05-05,222.27536010742188,226.87363540455675,220.6437001620069,226.87363540455675,29670
2015-05-06,219.0862579345703,222.4978968801303,216.7129606147095,222.34955589541426,19710
2015-05-07,221.23704528808594,221.90455702191989,217.232088053354,217.232088053354,29160
2015-05-08,219.97625732421875,224.2778742526356,219.90208683228266,222.79455494853926,15420
2015-05-11,222.27536010742188,224.87116834462196,219.97621114202863,219.97621114202863,17580
2015-05-12,215.15545654296875,221.3853927157772,211.8921587985124,221.3853927157772,24620
2015-05-13,217.9737548828125,218.19626634603674,215.37794624744876,216.8612654676566,17340
2015-05-14,218.49293518066406,220.4954026349769,214.41380714741004,217.97376437751475,39220
2015-05-15,215.89715576171875,217.8254756206765,214.5621546438284,217.60296411753188,20140
2015-05-18,221.75624084472656,223.01707133443023,215.3779631699529,215.3779631699529,22640
