Price,Close,High,Low,Open,Volume
Ticker,CC,CC,CC,CC,CC
Date,,,,,
2015-06-19,14.420916557312012,15.388489568035064,14.17815892785253,14.523967682190397,2636100
2015-06-22,13.853096961975098,15.07725875433105,13.8530969619751,14.696869712952136,821900
2015-06-23,12.341913223266602,13.832349339493,12.263069929568976,13.60411562815759,1500100
2015-06-24,11.688336372375488,12.103307167669605,11.446269965190938,12.103307167669605,1171400
2015-06-25,10.367345809936523,11.729831763154122,10.141187127390578,11.619173072494604,2191400
2015-06-26,10.360430717468262,10.886060220619422,10.235940005358284,10.367347051357122,1242300
2015-06-29,10.720069885253906,10.962136243268164,10.35351284160119,10.35351284160119,1464600
2015-06-30,11.065879821777344,11.10737650174542,10.588664044677444,11.024382482231431,28855200
2015-07-01,11.418604850769043,11.536179876140961,10.09761555820226,11.06587977465329,11615400
2015-07-02,11.418604850769043,11.418604850769043,10.996717762230574,11.363275504662003,6632000
2015-07-06,11.093544006347656,11.190370022636925,10.830728649054587,11.065878676461844,3389400
2015-07-07,10.367345809936523,11.148874296769476,10.235938779672802,10.989801934263049,4827100
2015-07-08,9.004860877990723,9.751807784234076,8.520728062081451,9.731058782698835,9970700
2015-07-09,8.168004035949707,9.150100407880116,8.168004035949707,9.01869335586835,10485200
2015-07-10,8.064262390136719,8.472316944420907,7.708079691746116,8.244083152970097,8528100
2015-07-13,7.884438514709473,8.064259206553803,7.649289140272024,7.766863497701855,6951500
2015-07-14,8.755875587463379,8.825037586626182,7.773778892986732,7.773778892986732,6311800
2015-07-15,8.984107971191406,9.426743251200826,8.6452156750289,8.79737165559114,4837100
2015-07-16,9.06710433959961,9.108601675933045,8.825038632984215,8.866535309739866,4385400
2015-07-17,9.018692970275879,9.060190314155767,8.93569894209401,9.018692970275879,2720600
2015-07-20,8.638300895690918,8.942612911472015,8.569139553615383,8.894199246483636,4101900
2015-07-21,8.562224388122559,8.679799411205863,8.527643382584323,8.555308055099347,2186100
2015-07-22,8.327075004577637,8.610638085315435,8.050428257413412,8.40315269515333,3387700
2015-07-23,8.195667266845703,8.444649318096866,8.112672590184165,8.34090696163667,2225000
2015-07-24,7.822193145751953,8.133420846284853,7.773779478858208,8.09192351174418,3445400
2015-07-27,7.434890270233154,7.78069912001144,7.36918640409343,7.773782784717146,3738900
2015-07-28,7.815277576446533,7.822193909474884,6.819348046009981,7.158241109043122,3192600
2015-07-29,8.430815696716309,8.506894031771605,7.5787434888033705,7.635455961780375,2757400
2015-07-30,8.394600868225098,8.648104359318115,8.146891332143888,8.365629020936087,2405600
2015-07-31,7.909323215484619,8.329415415988018,7.836893239917782,8.314929144577274,2664800
2015-08-03,7.706519603729248,7.93105126579163,7.5761459349553615,7.887593836695922,2471600
2015-08-04,7.221238613128662,7.728970086362109,7.1415655305144785,7.605115687769907,3585500
2015-08-05,6.85909366607666,7.358858356462202,6.757691824360034,7.069139795476892,7573000
2015-08-06,8.039694786071777,8.879878966664423,6.888062759287864,6.924277737570635,7461000
2015-08-07,7.974510192871094,8.170070025084591,7.424044303151664,8.119369455759509,3591500
2015-08-10,8.039694786071777,8.329413230847429,7.8224056071184105,8.010722941594212,2923900
2015-08-11,7.742734909057617,8.068669123564755,7.576146924525943,7.967267291191038,1639200
2015-08-12,7.257454872131348,7.713761286289405,7.06913752266539,7.431285952833781,2453700
2015-08-13,7.815164566040039,8.133854940631432,6.967737024719986,7.17778312611381,2375500
2015-08-14,7.684791088104248,7.967267172902058,7.43853068298451,7.692034224039863,1290300
2015-08-17,7.952780246734619,8.056355148010832,7.648576160644561,7.663061740580561,2151900
2015-08-18,7.257454872131348,7.815163095404148,7.143015973724083,7.807919961022384,3776100
2015-08-19,7.069138050079346,7.213997294805692,6.967736233399221,7.1922685807825815,1829400
2015-08-20,6.967736721038818,7.2646983661966384,6.764933764228694,7.2646983661966384,3043300
2015-08-21,6.663531303405762,7.061894734256054,6.562130180066545,6.8808205103007705,2015800
2015-08-24,6.663531303405762,6.942385774075301,6.01166437346408,6.3955415348411435,2239700
2015-08-25,6.0189080238342285,6.895307370487747,6.011664888477102,6.837362978374141,2859000
2015-08-26,6.605587482452393,6.620073751652486,6.055121686228859,6.185495346056363,2748400
2015-08-27,6.931521892547607,7.0474092990792,6.620074660179808,6.678018363445605,2765400
2015-08-28,7.011194705963135,7.032923421082644,6.554887543993048,6.554887543993048,1947600
2015-08-31,7.003951072692871,7.1125953313091825,6.786661864716898,6.786661864716898,1878100
2015-09-01,6.786662578582764,6.989465538345593,6.7069901599332225,6.721475740258856,2239100
2015-09-02,6.279654502868652,6.822877205949031,6.257925788153586,6.663531686303973,3103700
2015-09-03,6.801147937774658,7.264697497938386,6.308625839357368,6.373812668941224,3929200
2015-09-04,6.49694299697876,6.764932751026143,6.489699862634511,6.714232192103028,1683600
2015-09-08,6.605587482452393,6.634559330109245,6.511428804881787,6.554886921738734,2074500
2015-09-09,6.735960960388184,6.97497886978883,6.70698911351366,6.772175941667166,2977900
2015-09-10,6.634561061859131,6.8663359036117075,6.558510200937884,6.808392193173563,2363100
2015-09-11,6.569370746612549,6.78665989140893,6.540398906689241,6.6852581063057785,2222900
2015-09-14,6.489699363708496,6.591101164502299,6.366568852295755,6.591101164502299,1666000
2015-09-15,6.8083930015563965,6.837364860215392,6.540403136274786,6.540403136274786,1911600
2015-09-16,6.960490703582764,7.090864324350538,6.779416537291133,6.8446033476750205,1925300
2015-09-17,6.844605445861816,7.141567059093602,6.808390463353305,6.967735971944753,1227600
2015-09-18,6.344840049743652,6.78666084322435,6.315868205757103,6.750445865555352,3589800
2015-09-21,6.620075225830078,6.656289525407949,6.323112857789728,6.475215264544644,1975800
2015-09-22,6.294139385223389,6.5331579835863645,6.134794573972485,6.518671714885386,1576800
2015-09-23,5.779890060424805,6.627317258349353,5.714703220056869,6.257926314170127,2612700
2015-09-24,5.490170001983643,5.772645673396311,5.214937119390967,5.750916961564686,4411800
2015-09-25,5.113537788391113,5.6060597213219,5.106294996554083,5.591573792276047,3414000
2015-09-28,4.69344425201416,5.099050502759618,4.660850833989415,5.070078652375778,4068500
2015-09-29,4.476154804229736,4.8527891856985335,4.454426090217667,4.751387714441617,4047600
2015-09-30,4.6862006187438965,4.700686542396441,4.302323469265638,4.526855458565908,4616600
2015-10-01,4.758631706237793,4.802089487458973,4.570314308907601,4.707930788793877,2215500
2015-10-02,5.128023624420166,5.225803902734888,4.6789594867724755,4.707931344338664,2885600
2015-10-05,5.475685119628906,5.620544722647529,5.178723468766884,5.236667171825648,4462600
2015-10-06,5.94647741317749,6.127551633200261,5.468441582836312,5.482927506623267,3878400
2015-10-07,5.700217247009277,6.228954410621011,5.6096801229638755,5.975450186996511,4017900
2015-10-08,6.105823516845703,6.2144677831783754,5.070078656068174,5.982692979938861,6623500
2015-10-09,5.816103458404541,6.28689682100472,5.743673843147455,6.1927381484846835,2952200
2015-10-12,5.830591201782227,5.903020489989976,5.645895377125736,5.8161049296945935,1296600
2015-10-13,5.316339492797852,5.787132213568801,5.301853568241387,5.743674439899406,1585300
2015-10-14,5.222179412841797,5.3815245403161125,5.164235730123863,5.32358085759818,2139600
2015-10-15,5.120779991149902,5.214938340079849,4.997649444043363,5.214938340079849,2159500
2015-10-16,4.628258228302002,5.193210100688856,4.599286372833113,5.142509180932421,2677700
2015-10-19,4.403725624084473,4.6789585619326814,4.3095669329198145,4.628257648527469,2638300
2015-10-20,4.6427435874938965,4.686201365375464,4.353025068283449,4.425454698086061,2369400
2015-10-21,4.534099102020264,4.744145191245182,4.490640980812893,4.70793020536294,1373400
2015-10-22,4.5992865562438965,4.736903047894882,4.512370986371202,4.635501549710073,1437400
2015-10-23,4.7513885498046875,4.823818184865236,4.592043352671479,4.649987060719918,1341000
2015-10-26,4.671715259552002,4.889004485965832,4.649986544133641,4.889004485965832,1120100
2015-10-27,4.7513885498046875,4.758631685996614,4.500057388041426,4.657229851540102,1142900
2015-10-28,4.823817253112793,4.946947781618116,4.72965891840726,4.809331328898736,1762300
2015-10-29,5.004891872406006,5.030242500804694,4.773117066738255,4.809331707437989,1358200
2015-10-30,5.019378185272217,5.070079100612161,4.852789858151519,4.910733909413626,1407400
2015-11-02,5.5046563148498535,5.591571859075245,4.961433645383651,4.997648628163399,2071300
2015-11-03,6.142037868499756,6.315869663277667,5.323582568946407,5.323582568946407,3794100
2015-11-04,5.888533592224121,6.373812546776871,5.83058989831424,6.113065233439085,4209700
2015-11-05,5.446712493896484,6.265167701322773,5.287367333134418,6.026149787493842,2561100
2015-11-06,4.874516487121582,5.432224895958454,4.827437163245355,5.338066248206,2996400
2015-11-09,4.657229423522949,4.8383036672187805,4.599285720799758,4.780359964495588,1819100
2015-11-10,4.475306510925293,4.671783365210275,4.438921766913371,4.606290964785069,2550500
2015-11-11,4.293384075164795,4.5189686168797545,4.293384075164795,4.497137698072837,3530400
2015-11-12,4.256998538970947,4.329767676553491,4.184229401388403,4.307937108774038,2166300
2015-11-13,4.140568256378174,4.293383631254342,4.096906770269362,4.235168316442592,1366300
2015-11-16,4.264276504516602,4.3443223988487505,4.115099654999508,4.2060611824602425,1940700
2015-11-17,4.089630603790283,4.373430847921923,4.07507677180846,4.23516927059924,5757800
2015-11-18,4.249722957611084,4.286107362829105,4.078715177415173,4.09690755351954,4076900
2015-11-19,4.395261764526367,4.555354275778744,4.257000176441406,4.257000176441406,3733900
2015-11-20,4.3588762283325195,4.468030130657737,4.275191789643956,4.402538066855159,2116400
2015-11-23,4.322490692138672,4.380705998916469,4.191506251888627,4.358875085379496,2500900
2015-11-24,4.475306510925293,4.55535273955714,4.322491141260237,4.322491141260237,2704900
2015-11-25,4.591738224029541,4.649953550643114,4.431646075842215,4.475307570802395,1349600
2015-11-27,4.613566875457764,4.68633599792749,4.584459226469873,4.635397438703408,503700
2015-11-30,4.548075199127197,4.657229073304371,4.51169045873794,4.591736679399946,1155600
2015-12-01,4.4025373458862305,4.61356802722716,4.25699871762276,4.548075627159067,2204100
2015-12-02,4.453474998474121,4.504413563868287,4.293382909649096,4.366152040933198,1985200
2015-12-03,4.344320774078369,4.548074672062621,4.278828734754248,4.460751721636753,2763100
2015-12-04,4.518968105316162,4.562629590996675,4.2642759320178465,4.329767987043295,1928100
2015-12-07,4.373430252075195,4.518968552064937,4.355237877828809,4.482583803572163,1627700
2015-12-08,4.206060886383057,4.366153010768683,4.169676139163718,4.307937692810273,2391500
2015-12-09,4.395261764526367,4.566269563867076,4.22789251021202,4.22789251021202,2007700
2015-12-10,4.460752487182617,4.533521625026008,4.337044779353542,4.366152434490899,1174500
2015-12-11,4.140568256378174,4.438921918283717,4.082352941566424,4.373429862615822,2629700
2015-12-14,3.8276612758636475,4.206061219558206,3.776722695119704,4.111461146886893,2557200
2015-12-15,3.9004297256469727,3.944091209700145,3.816744954302087,3.8276605855583528,2089300
2015-12-16,4.111461162567139,4.235168896995159,3.9077071858049814,3.9659225085968277,2309600
2015-12-17,3.434706926345825,4.060522296375814,3.3328301186169753,4.060522296375814,5230200
2015-12-18,4.3370466232299805,4.577185053702286,3.420154055618522,3.420154055618522,7564700
2015-12-21,4.053245544433594,4.4862222363919155,3.8203839232430883,4.358875966820879,4846000
2015-12-22,4.169675350189209,4.322490704410065,3.96955997232946,4.0314138227041205,2116200
2015-12-23,4.191506385803223,4.322490830238094,4.111460162931052,4.169675471568772,1784000
2015-12-24,4.176952838897705,4.256999073790256,4.155122268375612,4.155122268375612,438900
2015-12-28,3.929536819458008,4.147844208489209,3.918621536754093,4.147844208489209,1442800
2015-12-29,3.9877536296844482,4.002307461117976,3.864773528527176,3.951368877605273,1138600
2015-12-30,3.8203840255737305,3.9586455843286137,3.79127636551909,3.9149840942466527,1329500
2015-12-31,3.9004297256469727,4.009583609275218,3.7767220140010034,3.7912758420187274,1959300
2016-01-04,3.9877536296844482,3.995030371905856,3.783999642624347,3.783999642624347,2782300
2016-01-05,3.9440910816192627,3.9950293045318075,3.834937201535693,3.987752564254566,3089500
2016-01-06,3.725783586502075,3.864045131511688,3.674845359965816,3.842214562136333,3036300
2016-01-07,3.4565377235412598,3.798552882457874,3.376491489628183,3.6384607616223787,3906000
2016-01-08,3.4929215908050537,3.6530136713462737,3.354660075024169,3.5147521555653896,2813200
2016-01-11,3.187291145324707,3.5074756772148716,3.121798752190861,3.4929218506285276,3551900
2016-01-12,2.845276355743408,3.2491455456963267,2.7797839515105784,3.23095317263269,6644100
2016-01-13,2.401383876800537,2.888937635562896,2.3577223927757838,2.888937635562896,4251000
2016-01-14,2.554199457168579,2.8016147274159167,2.3431687599730076,2.401384076855833,6322600
2016-01-15,2.8962152004241943,2.9034921160636378,2.4741537463457606,2.5032614089035348,3024900
2016-01-19,2.612415075302124,3.0344766918586443,2.546922836256706,2.932599875565772,2604000
2016-01-20,2.656076192855835,2.7215684183731916,2.3431685461711704,2.532368482272181,2659600
2016-01-21,2.6342451572418213,3.0010020891797824,2.621146782134547,2.6487991579653456,2163900
2016-01-22,2.7652297019958496,2.808891182515318,2.5687528661629404,2.71429130805647,2421500
2016-01-25,2.5396456718444824,2.8016147758405423,2.532368757108351,2.7579532874237542,1499800
2016-01-26,2.4232139587402344,2.5541985486301915,2.3649986625648167,2.5469216366082645,3404800
2016-01-27,2.2703983783721924,2.474152239144798,2.2267369111331687,2.445044420823534,3900500
2016-01-28,2.2849533557891846,2.386830156441732,2.270399353629212,2.299507184453834,2833600
2016-01-29,2.8671071529388428,2.9107686409136684,2.2995072887801173,2.306784203442588,30275800
2016-02-01,2.845276355743408,3.267337571769308,2.692460977193908,2.8889378429017434,4579500
2016-02-02,2.6633524894714355,2.881660030757064,2.5833062811196985,2.816167646924684,3294400
2016-02-03,2.910768747329712,2.9762611551816462,2.692461125979051,2.6997380409075618,3998500
2016-02-04,3.201845645904541,3.2236762168841278,2.8962148762649678,2.925322535564863,2775800
2016-02-05,3.0344765186309814,3.2018457379100975,2.9471535382220546,3.1945686493806806,1629100
2016-02-08,3.0126452445983887,3.0271990729494673,2.8743838752631414,2.954429931194074,1885000
2016-02-09,2.8962152004241943,2.998092019376404,2.765230545418856,2.932599952116766,2551600
2016-02-10,2.6196913719177246,2.925322095589739,2.6196913719177246,2.918045355354538,1579000
2016-02-11,2.816169261932373,2.9544308476513472,2.5469231804226182,2.612415428318008,1581100
2016-02-12,2.8234453201293945,2.903491371640345,2.648799216064738,2.8962144578666225,1844400
2016-02-16,2.6851840019226074,2.80889154607268,2.561476284277211,2.794337717349142,2078000
2016-02-17,3.0271995067596436,3.114522836370547,2.7142919788751936,2.721568894093545,2702700
2016-02-18,3.0053679943084717,3.0417523855212756,2.881660300805663,3.0417523855212756,1277200
2016-02-19,3.0053679943084717,3.0926909496078965,2.823444997272713,2.9471526907755217,1577700
2016-02-22,3.049030065536499,3.2527836675681168,3.027199148966359,3.049030065536499,1564400
2016-02-23,2.947153329849243,3.1654607654365523,2.9253224127951847,3.0271992160692625,1305700
2016-02-24,3.4856455326080322,3.6166300007740855,2.765230263713393,2.7797840935096216,4367500
2016-02-25,3.572967529296875,3.7476137858379075,3.347383055965582,3.4638140093231296,2884600
2016-02-26,3.5656912326812744,3.776721906422456,3.456537352162237,3.645737457993984,2985200
2016-02-29,3.7330613136291504,3.856769051245077,3.5365844206481793,3.565692082794197,2845900
2016-03-01,3.929536819458008,3.973198297264248,3.7839982131132928,3.7985520390487064,2514200
2016-03-02,4.155121326446533,4.184228978537986,3.900429197151033,3.9950288929529614,2951300
2016-03-03,4.3370466232299805,4.36979283592907,4.147846437408911,4.162400271165088,2570800
2016-03-04,4.21333646774292,4.468028587192087,4.184228816776762,4.3588747225737094,2530600
2016-03-07,4.788214206695557,4.8245989523475465,4.220614534060934,4.242445103859607,2728800
2016-03-08,4.424367904663086,4.7518295572788,4.29338345181118,4.7081677260041985,2292500
2016-03-09,4.614506721496582,4.6730107134155086,4.329299586536164,4.475559566333482,1723300
2016-03-10,4.636444568634033,4.731513353994601,4.446306300490501,4.592566587226572,2241600
2016-03-11,4.768078804016113,4.782704798711728,4.62181885705997,4.716887648225853,1409400
2016-03-14,5.0240349769592285,5.2287992958917595,4.958218160886623,5.009408979086284,2986800
2016-03-15,4.994781494140625,5.0825374552511295,4.936277520066956,4.972842678218595,2110300
2016-03-16,4.892400741577148,4.994782721361377,4.629132444849284,4.980156724249344,1829300
2016-03-17,5.279988765716553,5.301927931278914,4.848521764294717,4.899712569421548,2807600
2016-03-18,5.462813854217529,5.667578120387023,5.155667978030097,5.338493078687742,5529400
2016-03-21,5.2653632164001465,5.733395765773094,5.228798402322134,5.674891784279284,2150600
2016-03-22,5.2653632164001465,5.3092415512317395,4.833896178527684,5.228798402322134,2031700
2016-03-23,4.958217620849609,5.258050718943545,4.899713287018682,5.119103579928701,2455700
2016-03-24,5.228797912597656,5.2580499006048464,4.753452584414014,4.936277683814553,1853600
