Price,Close,High,Low,Open,Volume
Ticker,FTV,FTV,FTV,FTV,FTV
Date,,,,,
2016-07-05,30.11338233947754,33.66998267300846,29.986359761149398,30.609075498025415,9880426
2016-07-06,29.58670425415039,30.113378042829353,28.682062541631907,29.1653640987489,10634933
2016-07-07,29.580509185791016,29.741610343531732,29.33576144033199,29.50615624690866,8700775
2016-07-08,31.104764938354492,31.358808190545336,29.450388727512117,29.716823510693967,6729194
2016-07-11,31.67481803894043,31.742975214727117,30.348836001392854,30.49134799320838,9581668
2016-07-12,31.334022521972656,31.637635639224474,31.14194255151882,31.600457298926077,8805594
2016-07-13,31.365009307861328,31.66242484336604,30.87551189054031,31.33402860100032,7714271
2016-07-14,31.953645706176758,32.058981237568645,30.949867770961966,31.185321900804883,5520999
2016-07-15,31.74297523498535,32.164313570458674,31.358811496404012,32.083764862331165,5851156
2016-07-18,31.780139923095703,31.95983207815998,31.296840328629628,31.45794144284956,2469829
2016-07-19,31.94124412536621,31.94743989018209,31.253471126571945,31.625241378786086,3099695
2016-07-20,31.191516876220703,32.17051171953862,30.98704345948697,32.120941838482686,5315009
2016-07-21,31.129549026489258,31.365003101682763,30.974645522834898,31.22868689400861,4804709
2016-07-22,30.609073638916016,31.16053240829,30.540916466263255,30.980843953771004,3886076
2016-07-25,30.348838806152344,30.640058582841867,29.654867955471335,30.497546577855758,4828337
2016-07-26,30.534719467163086,30.621463933891867,29.915101676064193,30.088594357716318,2491871
2016-07-27,30.311656951904297,30.671033846895615,30.18463438625598,30.410794824078607,2582577
2016-07-28,30.144363403320312,30.41699586192794,29.955379412187924,30.200129048303804,4635350
2016-07-29,29.871728897094727,30.237303447583297,29.74780608300261,30.02663428880723,7110729
2016-08-01,29.61768341064453,30.057610839163086,29.487562974549125,29.809763371127463,4727165
2016-08-02,29.43180274963379,29.75400320542135,29.233525113588186,29.43180274963379,5181170
2016-08-03,30.534719467163086,30.65864227574395,29.338857992426973,29.431800098862624,7468795
2016-08-04,30.999431610107422,31.04900148575439,30.65864386880232,30.726801042243864,4831509
2016-08-05,31.340219497680664,31.588066988153948,31.14194375421877,31.14194375421877,4227491
2016-08-08,31.011829376220703,31.519915987793834,30.94367031909886,31.37120821404253,3356272
2016-08-09,31.265865325927734,31.309237557439374,30.00246518736345,30.193928579660195,1709296
2016-08-10,31.25967025756836,31.476535168156314,31.04280347288316,31.272061788534486,1875009
2016-08-11,32.560874938964844,32.66001096410341,31.41458302289996,31.433172198924563,3159954
2016-08-12,32.66000747680664,32.75914723955507,32.09615897813854,32.220081807476475,2042148
2016-08-15,33.24863815307617,33.31679531720314,32.752943212544565,32.80870884650194,2311887
2016-08-16,33.180484771728516,33.42833039615312,33.006992084992355,33.19907206910196,1589412
2016-08-17,33.09373474121094,33.29201422844355,33.05036063485449,33.25483588753882,1636668
2016-08-18,32.93882369995117,33.16188621065837,32.79631362266259,32.97600203446698,1387069
2016-08-19,32.17050552368164,32.80871059149613,32.0403869535919,32.80871059149613,1896734
2016-08-22,31.76155662536621,32.24485628062099,31.65002535904677,32.170503352472764,1715322
2016-08-23,32.158119201660156,32.28204202640796,31.687210968340512,31.823525325924077,3985979
2016-08-24,31.87270736694336,32.12709562093175,31.39743993759989,31.804458141375697,1098618
2016-08-25,32.0278205871582,32.1953434535346,31.630729765368617,31.754819943442204,2196126
2016-08-26,32.18292999267578,32.47454299006506,31.971974472040717,32.0402236836414,1486813
2016-08-29,32.51797103881836,32.75374308338523,31.99058600474741,32.12708817751401,1656807
2016-08-30,32.642059326171875,33.17565221538298,32.38147076687634,32.38147076687634,1509807
2016-08-31,32.679298400878906,32.77236791818871,32.26359514652555,32.555208213303914,2622221
2016-09-01,32.654476165771484,32.95229331462751,32.350454883945176,32.85922381356029,1521383
2016-09-02,33.119815826416016,33.175656775834874,32.766157731182076,32.89645202874059,1333311
2016-09-06,32.716522216796875,33.22529491472281,32.44352159174403,33.19427049569691,2051663
2016-09-07,32.84681701660156,32.9584989215743,32.27599922524242,32.530387454683265,2764306
2016-09-08,32.46834945678711,32.859232456264735,32.43112089591699,32.6855054276333,1740853
2016-09-09,31.36393165588379,32.269793233358065,31.36393165588379,32.120886537475414,3442220
2016-09-12,31.773435592651367,31.916138169191832,30.935821274076492,31.035093039632553,2953329
2016-09-13,31.04750633239746,31.89132487004107,31.004073640379243,31.556279108627116,2548483
2016-09-14,31.035093307495117,31.332910483362145,30.799321220214683,31.05370758472246,1827277
2016-09-15,31.326705932617188,31.394957030456197,30.712457311836406,31.010276360365467,2236087
2016-09-16,31.184003829956055,31.26466131929134,30.662820956278463,31.090934320274947,3729561
2016-09-19,31.506637573242188,31.894420293247457,31.25845535633157,31.277069632504066,1546597
2016-09-20,31.17780113220215,31.692778050419452,31.152982718758967,31.50664276453852,1697403
2016-09-21,31.63072967529297,31.649342075973948,31.159183622025015,31.314298220803696,1349169
2016-09-22,32.04023361206055,32.25739333256442,31.823073891556675,31.86030245180967,2615244
2016-09-23,31.568683624267578,32.00300298630777,31.425979173587383,31.82927223888631,1280030
2016-09-26,31.779638290405273,31.94716114655198,31.208818626889656,31.432182435085263,1690901
2016-09-27,32.021610260009766,32.12708801694802,31.67415632730499,31.70517698919499,1897209
2016-09-28,32.08986282348633,32.12088724187516,31.860294888481157,32.10227108953925,1436227
2016-09-29,31.457000732421875,32.02161438409819,31.413569923554324,31.698976939352693,2312204
2016-09-30,31.581092834472656,31.810660789093397,31.196412157795372,31.71759503248789,3096048
2016-10-03,31.88511085510254,32.05263370361555,31.401158461569274,31.401158461569274,2157750
2016-10-04,31.525251388549805,31.92234220278837,31.370138668907423,31.804456160534485,1923216
2016-10-05,31.605913162231445,31.82617304016958,31.394957608011616,31.655546230747316,1402609
2016-10-06,31.457000732421875,31.624523587971662,31.332908685739643,31.537658216979946,1211524
2016-10-07,30.979251861572266,31.52525125976268,30.94202518433585,31.332909986889167,1673934
2016-10-10,30.991666793823242,31.221234779405428,30.96064424522797,31.165393816608212,1619383
