Price,Close,High,Low,Open,Volume
Ticker,KHC,KHC,KHC,KHC,KHC
Date,,,,,
2015-07-06,47.37639236450195,48.24002571680778,46.103671876217255,46.103671876217255,3809700
2015-07-07,48.4608039855957,48.512752976563306,47.3763948083214,47.87639517665977,5794300
2015-07-08,48.9608039855957,49.025737746752476,48.07769096230406,48.2465227046144,4276600
2015-07-09,48.57119369506836,50.042614338064986,48.37638746857719,49.655602802353094,4267100
2015-07-10,50.201045989990234,50.5192297834774,48.70105507888149,48.73352443058508,4983000
2015-07-13,51.18807601928711,51.75300529951781,50.59067737517056,51.62313775223312,9078900
2015-07-14,50.649105072021484,51.62312632340651,50.42183443752396,51.590656966709034,18746100
2015-07-15,49.81144714355469,50.75949391834038,49.61015099978183,50.42183539128962,6330500
2015-07-16,51.13612747192383,51.19456638248105,49.96729971948523,49.980289446806445,5634100
2015-07-17,51.70755386352539,51.74651809304961,50.16860303588355,51.577686309457,6100900
2015-07-20,52.01923370361328,52.727020169782506,51.38287091162415,51.91533571548088,10284500
2015-07-21,52.09065246582031,52.38935169393348,51.55818776281376,51.928315605707006,6088600
2015-07-22,51.0647087097168,52.53223607067374,51.02574942847744,52.4867819245177,5201200
2015-07-23,50.1818962097168,51.378572838671126,50.116505107434214,51.280483690736595,2975400
2015-07-24,49.96609878540039,50.63309591386023,49.66529077852376,50.29959485512002,3116000
2015-07-27,50.60041427612305,50.99277093784097,49.88764265277841,50.109973437997844,5774300
2015-07-28,51.215091705322266,51.43088682925288,50.67887669341728,51.293564020121,1895900
2015-07-29,50.94697570800781,51.202004439834454,50.35190534106555,51.17584700720863,2278600
2015-07-30,51.797088623046875,52.11097293949453,50.744275275471836,51.14316753705105,3247000
2015-07-31,51.967105865478516,52.274449552631,51.57148144096866,52.274449552631,2685500
2015-08-03,52.555625915527344,52.9872111266224,52.25482289227427,52.31367338009696,2681800
2015-08-04,52.18944549560547,52.967613262241635,52.097896933533264,52.686426967584886,2429600
2015-08-05,52.62757110595703,52.96760787492268,52.215597629511365,52.320227397821995,4324300
2015-08-06,52.15675354003906,53.09186100595718,51.99327324871788,53.000312441939116,3708600
2015-08-07,51.30665969848633,51.90826603965501,50.54157304793335,51.75132633957256,3274100
2015-08-10,51.53550338745117,52.182888656161765,51.378563771863945,51.94093613249029,3252300
2015-08-11,50.98623275756836,52.62757623757666,50.39770272598944,50.76389697273969,3889100
2015-08-12,50.14920425415039,51.20855310584242,49.756847653797806,50.894673812386046,3688800
2015-08-13,49.691463470458984,50.397699462623294,49.5672218527979,50.358465792732645,2917500
2015-08-14,49.97264099121094,50.18189550900607,49.12058102099713,49.74376964190707,2572800
2015-08-17,49.567203521728516,49.96609564817116,49.377565872352484,49.606437177109676,2260300
2015-08-18,49.1683349609375,49.66727713895387,49.083322014839204,49.51491238696783,2009700
2015-08-19,48.90020751953125,49.2337085987527,48.3378351071268,49.044070925823675,3025700
2015-08-20,48.553627014160156,48.88974231815746,48.24628339171949,48.40322301140516,2207000
2015-08-21,47.25886535644531,48.553631046179326,47.25232973897191,47.93894375025277,5564500
2015-08-24,46.343379974365234,47.23924849162598,40.16382394320605,44.62356466612477,9844600
2015-08-25,45.91178512573242,47.34387347248914,45.774462337402674,46.781501107507985,4423400
