Price,Close,High,Low,Open,Volume
Ticker,NTRS,NTRS,NTRS,NTRS,NTRS
Date,,,,,
2015-01-02,51.122894287109375,51.42561589720007,50.54771283465677,51.22127823298439,676000
2015-01-05,49.246002197265625,50.82018039340573,49.18545554955728,50.714226646939196,1420400
2015-01-06,47.86102294921875,49.45790154471655,47.68695280923733,49.35951758892846,1520100
2015-01-07,48.63298416137695,48.75407168497224,47.929145247462735,48.26971004249861,798600
2015-01-08,49.389793395996094,49.57142754431122,49.00381577853667,49.00381577853667,801300
2015-01-09,48.51945114135742,49.48817423669092,48.51188136822495,49.34437741739935,1045300
2015-01-12,47.93671417236328,48.75407375701952,47.73237355444341,48.54216625118702,1102000
2015-01-13,48.02752685546875,48.85245902638907,47.641552092830075,48.413504505130405,1121200
2015-01-14,47.111778259277344,47.81561710519705,46.41550918724051,47.37666260472117,1339200
2015-01-15,46.763641357421875,47.38422998137057,46.52902745831047,47.134479422282034,1219800
2015-01-16,47.149620056152344,47.164756717405226,46.241440590139916,46.65012178289895,1223900
2015-01-20,47.25557327270508,47.53559717223685,46.703098134718225,47.263143046758856,1422200
2015-01-21,50.192012786865234,51.56941701447467,49.7530583318794,51.00180528704147,3359200
2015-01-22,51.463470458984375,51.93269829770811,50.131473136254286,50.31311307165786,2236800
2015-01-23,50.6158332824707,51.68294621937134,50.57042618695858,51.20615439435689,1863300
2015-01-26,51.16831970214844,51.175889477325555,50.237433672949706,50.58556826849043,947400
2015-01-27,50.184444427490234,51.03964981630339,50.131467562399216,50.67637575993267,1286200
2015-01-28,49.071922302246094,50.5023091441247,49.071922302246094,50.434192735442394,1524600
2015-01-29,50.260128021240234,50.29039556483581,48.80703764472001,48.988677550563125,1399200
2015-01-30,49.4806022644043,50.456895089479154,48.67837956936931,49.58655598736949,1570900
2015-02-02,50.411495208740234,50.45690230391919,49.54115598218753,49.91199406558896,1249100
2015-02-03,51.56942367553711,51.65267386823742,50.57042713717919,50.57042713717919,1325600
2015-02-04,51.274269104003906,52.0310848841368,51.13047225808388,51.357519301742215,1255900
2015-02-05,51.84944152832031,52.12945962197371,51.22885292951272,51.34237065718563,981600
2015-02-06,52.68193054199219,53.2949492856621,51.849434597417705,52.10674911114035,1499000
2015-02-09,52.17487716674805,52.6668027615728,52.084057202418755,52.33380777379006,709600
2015-02-10,52.90142059326172,52.98467078534603,52.29596570065682,52.42462298877048,1338000
2015-02-11,53.416053771972656,53.673368339780566,52.68951138904694,52.878715315039436,1321500
2015-02-12,53.42361831665039,53.74148530383486,53.08305355600818,53.43118809050007,1490300
2015-02-13,53.03762435913086,53.65064298244761,52.77274012523123,53.370619207157574,1370300
2015-02-17,53.13603591918945,53.189012793523794,52.810604898551034,52.86358177288537,927100
2015-02-18,52.35650634765625,53.21170594451121,52.1370291185777,53.05277535256711,996300
2015-02-19,52.69706726074219,52.70463703334709,52.16729865929331,52.30352569595798,1452100
2015-02-20,53.03762435913086,53.13600828199551,52.121878422481714,52.45487327050843,1393000
