Price,Close,High,Low,Open,Volume
Ticker,OPEN,OPEN,OPEN,OPEN,OPEN
Date,,,,,
2020-06-18,10.803999900817871,11.5,10.699999809265137,10.75,474700
2020-06-19,10.930000305175781,11.399999618530273,10.829999923706055,11.399999618530273,57400
2020-06-22,11.359999656677246,12.824999809265137,10.899999618530273,11.109999656677246,529800
2020-06-23,11.609999656677246,12.229999542236328,11.25,11.649999618530273,321700
2020-06-24,11.25,11.859999656677246,11.149999618530273,11.859999656677246,214800
2020-06-25,11.369999885559082,11.399999618530273,11.119999885559082,11.119999885559082,217800
2020-06-26,11.279999732971191,11.640000343322754,11.100000381469727,11.640000343322754,104100
2020-06-29,11.680000305175781,12.069999694824219,11.359999656677246,11.390000343322754,306000
2020-06-30,11.75,12.09000015258789,11.600000381469727,12.09000015258789,395400
2020-07-01,11.609999656677246,11.800000190734863,11.609999656677246,11.75,264200
2020-07-02,11.479999542236328,11.75,11.460000038146973,11.75,228200
2020-07-06,11.399999618530273,11.75,11.399999618530273,11.75,277900
2020-07-07,11.399999618530273,11.75,11.300000190734863,11.75,220100
2020-07-08,11.449999809265137,11.569999694824219,11.300000190734863,11.569999694824219,206400
2020-07-09,11.630000114440918,11.739999771118164,11.550000190734863,11.699999809265137,167200
2020-07-10,11.800000190734863,11.800000190734863,11.600000381469727,11.75,433700
2020-07-13,11.479999542236328,12.149999618530273,11.449999809265137,12.0,1592300
2020-07-14,11.449999809265137,11.600000381469727,11.380000114440918,11.600000381469727,147500
2020-07-15,11.640000343322754,11.65999984741211,11.399999618530273,11.65999984741211,173500
2020-07-16,12.0,12.050000190734863,11.699999809265137,11.75,224800
2020-07-17,12.0,12.140000343322754,11.880000114440918,12.050000190734863,220200
2020-07-20,11.930000305175781,12.149999618530273,11.699999809265137,12.010000228881836,304300
2020-07-21,12.0,12.449999809265137,11.930000305175781,12.170000076293945,491300
2020-07-22,12.050000190734863,12.34000015258789,11.899999618530273,12.270000457763672,1008300
2020-07-23,11.949999809265137,12.170000076293945,11.600000381469727,12.140000343322754,474800
2020-07-24,11.925000190734863,12.020000457763672,11.850000381469727,12.020000457763672,203700
2020-07-27,12.0,12.319999694824219,11.859999656677246,12.319999694824219,484300
2020-07-28,11.869999885559082,12.100000381469727,11.850000381469727,12.050000190734863,123200
2020-07-29,11.680000305175781,12.0,11.550000190734863,11.899999618530273,290200
2020-07-30,11.289999961853027,11.800000190734863,11.270000457763672,11.649999618530273,572500
2020-07-31,10.850000381469727,11.369999885559082,10.800000190734863,11.369999885559082,550000
2020-08-03,10.84000015258789,11.175000190734863,10.829999923706055,11.130000114440918,327700
2020-08-04,10.989999771118164,10.989999771118164,10.8100004196167,10.899999618530273,118700
2020-08-05,11.039999961853027,11.180000305175781,10.899999618530273,11.050000190734863,134200
2020-08-06,11.03499984741211,11.149999618530273,10.9399995803833,11.09000015258789,126900
2020-08-07,10.989999771118164,11.109999656677246,10.90999984741211,11.079999923706055,305100
2020-08-10,10.90999984741211,11.1899995803833,10.90999984741211,11.1899995803833,154900
2020-08-11,10.880000114440918,11.130000114440918,10.850000381469727,11.079999923706055,773100
2020-08-12,10.850000381469727,10.970000267028809,10.800000190734863,10.960000038146973,432100
2020-08-13,10.859999656677246,11.0,10.760000228881836,10.899999618530273,292700
2020-08-14,10.970000267028809,11.140000343322754,10.850000381469727,10.850000381469727,113200
2020-08-17,11.050000190734863,11.128999710083008,10.979999542236328,11.0,228500
2020-08-18,10.850000381469727,11.100000381469727,10.819999694824219,11.079999923706055,383400
2020-08-19,10.899999618530273,11.0,10.779999732971191,11.0,411100
2020-08-20,10.779999732971191,11.0,10.75,11.0,142400
2020-08-21,10.9399995803833,10.970000267028809,10.680000305175781,10.850000381469727,141300
2020-08-24,10.979999542236328,11.050000190734863,10.800000190734863,10.989999771118164,212100
2020-08-25,10.800000190734863,11.0,10.699999809265137,11.0,252800
2020-08-26,10.75,10.90999984741211,10.699999809265137,10.90999984741211,132800
2020-08-27,10.609999656677246,10.800000190734863,10.550000190734863,10.800000190734863,298000
2020-08-28,10.800000190734863,10.850000381469727,10.649999618530273,10.850000381469727,555100
2020-08-31,10.729999542236328,10.9399995803833,10.699999809265137,10.9399995803833,135200
2020-09-01,10.899999618530273,10.899999618530273,10.75,10.8100004196167,196800
2020-09-02,11.109999656677246,11.199999809265137,10.829999923706055,10.949999809265137,718000
2020-09-03,11.1899995803833,11.36299991607666,10.949999809265137,11.199999809265137,415800
2020-09-04,12.0,12.1899995803833,11.109999656677246,11.399999618530273,991100
2020-09-08,12.0,12.0,11.8100004196167,11.970000267028809,319900
2020-09-09,11.920000076293945,12.149999618530273,11.899999618530273,12.050000190734863,231400
2020-09-10,12.40999984741211,13.329999923706055,11.960000038146973,12.130000114440918,2887000
2020-09-11,12.699999809265137,13.260000228881836,12.0,13.180000305175781,3982700
2020-09-14,13.050000190734863,13.25,12.5,12.600000381469727,1416000
2020-09-15,17.559999465942383,18.079999923706055,14.819999694824219,15.550000190734863,63214400
2020-09-16,15.899999618530273,16.739999771118164,15.729999542236328,16.079999923706055,9164000
2020-09-17,15.40999984741211,16.43000030517578,15.300000190734863,15.930000305175781,3578000
2020-09-18,14.600000381469727,15.739999771118164,14.579999923706055,15.6899995803833,3535500
2020-09-21,15.350000381469727,15.859999656677246,13.899999618530273,15.25,3685100
2020-09-22,16.780000686645508,16.780000686645508,15.609999656677246,15.890000343322754,4840900
2020-09-23,15.270000457763672,17.5,15.0600004196167,16.690000534057617,4655700
2020-09-24,15.890000343322754,16.239999771118164,14.010000228881836,14.960000038146973,2845200
2020-09-25,16.420000076293945,16.75,15.399999618530273,15.789999961853027,2497500
2020-09-28,16.719999313354492,17.239999771118164,16.549999237060547,16.950000762939453,1951500
2020-09-29,18.75,19.399999618530273,17.16200065612793,17.479999542236328,4773200
2020-09-30,18.989999771118164,19.469999313354492,18.299999237060547,19.350000381469727,2636200
2020-10-01,18.56999969482422,19.299999237060547,18.030000686645508,19.079999923706055,2215000
2020-10-02,18.40999984741211,18.969999313354492,17.40999984741211,17.770000457763672,1798000
2020-10-05,18.25,19.18000030517578,17.920000076293945,19.18000030517578,1560900
2020-10-06,16.350000381469727,18.44499969482422,16.149999618530273,18.40999984741211,5036100
2020-10-07,17.56999969482422,17.729999542236328,16.799999237060547,17.010000228881836,2375100
2020-10-08,18.780000686645508,19.06999969482422,17.920000076293945,18.420000076293945,3242300
2020-10-09,21.239999771118164,22.450000762939453,19.5,19.549999237060547,6433800
2020-10-12,23.200000762939453,24.270000457763672,22.600000381469727,23.969999313354492,5569700
2020-10-13,24.079999923706055,24.329999923706055,22.469999313354492,22.889999389648438,2840200
2020-10-14,26.479999542236328,26.559999465942383,24.1200008392334,24.829999923706055,6479900
2020-10-15,23.93000030517578,27.0,23.510000228881836,25.170000076293945,4844300
2020-10-16,22.90999984741211,24.979999542236328,21.950000762939453,24.799999237060547,2862700
2020-10-19,21.34000015258789,23.34000015258789,20.799999237060547,23.149999618530273,3241600
2020-10-20,22.729999542236328,23.530000686645508,21.020000457763672,21.100000381469727,3643600
2020-10-21,21.920000076293945,22.700000762939453,21.399999618530273,22.700000762939453,1691200
2020-10-22,19.729999542236328,22.31999969482422,19.600000381469727,22.31999969482422,3097200
2020-10-23,19.440000534057617,20.170000076293945,18.399999618530273,20.0,2830600
2020-10-26,17.979999542236328,19.03700065612793,17.0,18.5,4240700
2020-10-27,18.190000534057617,19.139999389648438,18.0,18.8799991607666,2655200
2020-10-28,17.360000610351562,17.940000534057617,17.041000366210938,17.93000030517578,2034500
2020-10-29,17.110000610351562,18.09000015258789,16.850000381469727,17.0,2327900
2020-10-30,16.440000534057617,17.450000762939453,16.020000457763672,17.0,1941700
