Price,Close,High,Low,Open,Volume
Ticker,TDOC,TDOC,TDOC,TDOC,TDOC
Date,,,,,
2015-06-30,19.0,19.0,19.0,19.0,0
2015-07-01,28.5,31.899999618530273,27.81999969482422,29.899999618530273,10512900
2015-07-02,28.0,29.25,26.15999984741211,28.09000015258789,1199200
2015-07-06,26.690000534057617,27.809999465942383,26.010000228881836,26.110000610351562,512800
2015-07-07,27.010000228881836,27.850000381469727,25.65999984741211,26.93000030517578,700700
2015-07-08,26.25,27.25,26.0,26.799999237060547,403900
2015-07-09,26.65999984741211,27.079999923706055,26.5,26.610000610351562,334000
2015-07-10,29.280000686645508,31.0,26.700000762939453,27.100000381469727,1234600
2015-07-13,30.959999084472656,32.45000076293945,29.690000534057617,30.059999465942383,680800
2015-07-14,31.959999084472656,32.5,30.969999313354492,31.329999923706055,512500
2015-07-15,30.690000534057617,32.20000076293945,30.440000534057617,32.0,303000
2015-07-16,30.950000762939453,31.420000076293945,30.200000762939453,31.059999465942383,368200
2015-07-17,30.600000381469727,31.68000030517578,30.489999771118164,31.209999084472656,200000
2015-07-20,29.889999389648438,31.0,29.8799991607666,30.6299991607666,218800
2015-07-21,30.5,30.700000762939453,29.56999969482422,29.56999969482422,286000
2015-07-22,31.09000015258789,31.09000015258789,30.1299991607666,30.200000762939453,404200
2015-07-23,30.540000915527344,31.0,30.270000457763672,30.799999237060547,373900
2015-07-24,32.150001525878906,32.2400016784668,30.399999618530273,30.719999313354492,529300
2015-07-27,31.309999465942383,32.900001525878906,30.5,32.63999938964844,385500
2015-07-28,30.829999923706055,31.170000076293945,29.75,31.149999618530273,251600
2015-07-29,31.56999969482422,31.700000762939453,30.510000228881836,30.600000381469727,165900
2015-07-30,30.90999984741211,31.700000762939453,30.649999618530273,31.3700008392334,287400
2015-07-31,31.56999969482422,31.790000915527344,30.90999984741211,31.059999465942383,143300
2015-08-03,33.20000076293945,34.0,31.510000228881836,31.739999771118164,458500
2015-08-04,34.81999969482422,35.31999969482422,33.05099868774414,33.150001525878906,263700
2015-08-05,33.060001373291016,35.41999816894531,32.5099983215332,35.20000076293945,318200
2015-08-06,32.06999969482422,33.599998474121094,30.079999923706055,33.599998474121094,554300
2015-08-07,30.829999923706055,32.29499816894531,30.77199935913086,32.0,209200
2015-08-10,30.469999313354492,30.889999389648438,30.0,30.850000381469727,209600
2015-08-11,28.760000228881836,30.600000381469727,28.25,30.100000381469727,436200
2015-08-12,28.510000228881836,29.3799991607666,28.170000076293945,28.809999465942383,251600
2015-08-13,29.790000915527344,31.0,28.25,28.25,688900
2015-08-14,28.520000457763672,30.969999313354492,27.8700008392334,30.100000381469727,523900
2015-08-17,29.229999542236328,29.5,27.149999618530273,28.139999389648438,473000
2015-08-18,28.299999237060547,29.239999771118164,28.09000015258789,29.200000762939453,378100
2015-08-19,26.850000381469727,28.34000015258789,26.190000534057617,28.170000076293945,772500
2015-08-20,26.5,27.309999465942383,24.559999465942383,26.399999618530273,563900
2015-08-21,25.639999389648438,26.760000228881836,24.670000076293945,26.760000228881836,662300
2015-08-24,23.8799991607666,25.030000686645508,21.81100082397461,23.940000534057617,961400
2015-08-25,23.200000762939453,25.040000915527344,22.5,24.110000610351562,1178100
2015-08-26,25.280000686645508,25.6299991607666,22.75,24.719999313354492,1479900
2015-08-27,26.1299991607666,28.5,25.739999771118164,27.65999984741211,1596800
2015-08-28,27.719999313354492,27.790000915527344,25.90999984741211,26.280000686645508,662400
2015-08-31,25.739999771118164,28.049999237060547,25.719999313354492,28.049999237060547,564000
2015-09-01,22.850000381469727,25.299999237060547,22.690000534057617,25.149999618530273,1686700
2015-09-02,22.149999618530273,23.020000457763672,20.260000228881836,22.959999084472656,3360800
2015-09-03,22.40999984741211,23.399999618530273,21.559999465942383,22.350000381469727,2480200
2015-09-04,20.81999969482422,22.239999771118164,20.079999923706055,21.6299991607666,1714200
2015-09-08,20.530000686645508,22.0,20.25,22.0,1089100
2015-09-09,22.559999465942383,22.90999984741211,20.634000778198242,20.780000686645508,1114800
2015-09-10,22.979999542236328,23.385000228881836,21.100000381469727,22.06999969482422,614500
2015-09-11,23.5,23.770000457763672,21.600000381469727,23.280000686645508,594000
2015-09-14,23.06999969482422,24.75,22.5,24.229999542236328,665900
