Price,Close,High,Low,Open,Volume
Ticker,TFX,TFX,TFX,TFX,TFX
Date,,,,,
2015-01-02,107.05297088623047,108.18279203789594,106.23127759494689,107.88399642029721,155200
2015-01-05,104.699951171875,105.8764620554135,103.78489269211696,104.41049491535863,318600
2015-01-06,103.24332427978516,104.98941544829671,102.3936271127579,104.60657976809512,406300
2015-01-07,104.05571746826172,104.896075585312,103.43010787990224,104.35451320682128,350400
2015-01-08,104.59725952148438,104.95208428972303,104.04635787963103,104.05569724822968,499400
2015-01-09,104.24242401123047,104.7186319942314,104.11170136865762,104.55989837451433,269000
2015-01-12,103.50479125976562,104.39184608031275,103.42075831167598,104.16774397103808,286300
2015-01-13,103.69154357910156,105.16684329196886,103.0472624781869,103.64485385845367,293400
2015-01-14,103.66350555419922,103.98097992113179,102.61772440159734,103.24332664450736,214700
2015-01-15,103.18729400634766,104.23307505067731,102.43096207381744,103.66349482166959,237600
2015-01-16,102.95388793945312,103.85027499051323,102.12286222157915,102.71111422025425,355800
2015-01-20,103.4113998413086,104.01833047507947,102.18820633049255,102.95387058612432,485000
2015-01-21,103.11263275146484,103.99034828400443,102.28160694362062,103.14998310645076,311300
2015-01-22,103.83158874511719,104.06502307873826,102.23489875801104,103.57948279930065,353300
2015-01-23,104.30778503417969,105.22285065342211,103.61682147914951,103.66350406630644,197500
2015-01-26,105.35359191894531,105.36292416371654,103.68220112812197,104.30780347264022,260000
2015-01-27,104.3451156616211,104.80264482286475,103.62614126538105,103.95294780912653,190300
2015-01-28,103.58881378173828,105.02677001530267,103.23398906409321,105.00809128076875,144800
2015-01-29,104.4571762084961,104.54120913148132,102.72042456164463,103.79422369527738,135700
2015-01-30,102.30026245117188,104.3451495405929,101.87074412224271,104.03701450336631,209300
2015-02-02,102.29093170166016,103.05659605987124,100.33007752618107,102.374964645486,219700
2015-02-03,103.103271484375,103.53278978971298,101.91742824179516,102.69243191448884,286500
2015-02-04,102.65507507324219,103.56080134139908,102.24422840549683,102.6457357061071,179600
2015-02-05,103.4674301147461,103.72887542444204,101.79603945764654,102.82315620838119,151300
2015-02-06,103.17797088623047,104.41984319576163,102.58971895617105,103.5701388396034,230900
2015-02-09,102.16018676757812,102.77644959283347,101.82404081785731,102.7390992513257,150200
2015-02-10,102.83246612548828,103.12192947596105,101.60927278191102,102.44963761193881,295200
2015-02-11,103.9249496459961,104.55055183882058,102.7671104285263,102.7671104285263,290500
2015-02-12,104.20510864257812,104.57860508551109,103.50480548352337,104.57860508551109,212700
2015-02-13,104.64395141601562,104.91473612019765,103.7008746357749,104.08371039391709,186900
2015-02-17,106.92225646972656,106.95960681527934,105.12947550244282,105.40026016481302,296900
2015-02-18,108.55628204345703,108.67766530724177,106.54874576486927,106.99693560334293,348600
2015-02-19,108.46292114257812,108.6309870067657,107.64122781268449,108.22948683274012,286100
2015-02-20,112.19789123535156,112.24457383180317,108.14546714878337,110.10631429602876,530800
2015-02-23,113.49575805664062,114.93370705724539,112.36592979011641,113.16894434174469,693500
2015-02-24,114.84033966064453,114.87769000462116,113.43973381884452,113.4957628967343,412200
2015-02-25,112.98219299316406,114.89635696366221,112.46863472092828,114.76563433506564,430400
2015-02-26,113.18765258789062,113.7945833431447,112.1325247310155,113.06626216252906,164800
2015-02-27,113.94609069824219,114.3861827407114,112.88799524024918,113.05654097685681,182800
2015-03-02,115.08844757080078,115.15399273366562,113.74008177028216,113.74008177028216,160200
2015-03-03,114.62028503417969,115.02291457086936,113.93673638337987,114.3580971948247,200600
2015-03-04,113.4592056274414,114.77011644203063,113.15020384339532,113.8150284613936,236600
2015-03-05,114.19892883300781,114.43301978432439,113.05656384756074,113.72138129203313,195000
2015-03-06,112.98162078857422,114.52661481358767,112.41043849495739,114.52661481358767,182700
2015-03-09,113.15019226074219,113.29064825219344,112.29810496201135,112.95355673026584,147800
2015-03-10,112.26062774658203,113.36553704405951,111.42726474145522,112.26999338256297,224100
2015-03-11,111.7550048828125,112.5977336319121,111.41791338317266,112.47600892410972,205000
2015-03-12,112.36365509033203,113.23447370303765,111.80183824365812,112.35428945211898,264600
2015-03-13,111.35235595703125,112.71944593562489,110.45344777154038,111.98908348140651,270200
2015-03-16,112.44788360595703,112.83179605063036,111.87670847218392,111.94225362811764,274200
2015-03-17,112.25126647949219,112.61644771420411,111.64263585089722,112.44790197942267,205200
2015-03-18,112.15763092041016,112.61644708434847,111.60517982520304,112.08272011784018,384600
2015-03-19,112.27938079833984,112.54156150556702,111.70819833878559,112.12955916913091,259700
2015-03-20,112.34488677978516,112.76624746312436,111.97969847196893,112.76624746312436,421400
2015-03-23,112.08272552490234,112.54154885486241,111.69882014501377,112.23254713726996,342400
2015-03-24,113.30001068115234,113.60901242481594,111.64265003185459,111.82055428169171,427200
2015-03-25,112.5228271484375,114.1521051739674,112.41982656714923,113.60901249879078,263900
2015-03-26,111.56771850585938,112.3449019675511,110.81862480766955,112.3449019675511,301900
2015-03-27,112.26062774658203,112.61644333109993,111.35235394138185,111.56772070562103,190100
2015-03-30,113.3281021118164,113.73073880507076,111.96101191106382,112.95355518769101,268900
2015-03-31,113.14083862304688,113.51538556836361,112.47602118845683,113.17829403196743,675100
2015-04-01,111.98908996582031,113.74009254521098,111.29618287219579,112.85990843716927,245700
2015-04-02,113.06591033935547,114.0490950259484,111.89545578097704,112.12954669265272,342100
2015-04-06,113.97417449951172,114.25507928323327,112.58835327726939,112.58835327726939,533700
2015-04-07,113.24380493164062,114.77007487772073,113.23443929627335,114.77007487772073,155900
2015-04-08,113.2906265258789,113.74008418355042,112.85053450421164,113.21572286950624,187800
2015-04-09,113.74009704589844,113.74009704589844,112.88800267033008,113.1220935896988,157500
2015-04-10,113.44044494628906,114.10526220621152,112.85053134063946,114.10526220621152,128800
2015-04-13,113.26256561279297,114.11466010905339,113.00975052737628,113.38429033630635,167300
2015-04-14,112.15763092041016,113.17827095973601,111.67072499147994,113.17827095973601,506200
2015-04-15,111.88606262207031,112.75688088505224,111.46470194225702,112.6913357316616,322900
2015-04-16,112.37299346923828,112.38235196129237,111.26808417645537,112.05462614222267,264200
2015-04-17,112.53215789794922,112.56961329261352,111.39915899892704,112.00779666042122,215900
2015-04-20,113.78690338134766,113.99290451972371,112.58835909685516,112.58835909685516,179000
2015-04-21,114.93862915039062,114.97608455076107,113.48726274755587,114.33935703223764,332700
2015-04-22,115.19145965576172,115.30382587197607,114.02100502644258,114.74200907868051,135600
2015-04-23,115.94989776611328,116.83944026306878,114.92925780243304,115.08844503206778,308900
2015-04-24,117.02672576904297,117.40126549360579,115.26635763049343,116.34317719832988,498700
2015-04-27,115.43489074707031,117.04543710465218,114.70452836255913,116.9986160722557,354400
2015-04-28,115.45362854003906,115.88435491565131,113.67453636676272,115.11653709062304,223500
2015-04-29,114.17083740234375,115.66901804021522,113.17829406923305,115.33192650370805,331700
2015-04-30,115.13526916503906,116.53981458658637,114.00227004892405,114.00227004892405,405800
2015-05-01,114.80752563476562,116.21207083984581,113.64643693218751,115.42552181018002,291800
2015-05-04,116.68026733398438,116.69899146244391,114.70453959074706,114.76071912001291,342400
2015-05-05,115.21019744873047,117.03610391621858,114.84501615523284,115.94992567357882,420500
2015-05-06,114.90119171142578,115.59409886687688,114.20828455597469,115.59409886687688,316500
2015-05-07,114.96672821044922,115.781367160629,114.09590972711489,114.56409155377017,393300
2015-05-08,116.39002990722656,116.57729982046679,115.25702335728863,115.98739316425974,547800
2015-05-11,117.29828643798828,117.46683220250677,116.10910759224963,116.10910759224963,279100
2015-05-12,118.42495727539062,119.04464257776849,116.25607304372694,116.67858054019953,562100
2015-05-13,118.86624145507812,119.33569739065373,117.60810298613346,118.44373397839172,504200
2015-05-14,121.37315368652344,121.61726563974453,118.73480619468934,119.48593863177068,771200
2015-05-15,120.53752899169922,121.2792631793354,120.2464685595045,121.05391913828447,694000
2015-05-18,120.78163146972656,121.21353726614697,120.049281302167,120.1525621887028,224700
2015-05-19,120.18073272705078,121.551550513449,119.78639141698932,121.10086245052753,314500
2015-05-20,119.87091064453125,120.79104052604347,119.45779417589216,119.81457820865572,282200
2015-05-21,121.0351333618164,121.18536270035982,119.35448024433995,119.94599214736408,260100
2015-05-22,121.79566192626953,122.29328412436642,121.0163632717673,121.87077660308827,244300
2015-05-26,119.66433715820312,121.86138790305343,119.41083405815516,121.20415233749917,278400
2015-05-27,121.11962127685547,121.30740077009284,119.52347409435234,120.16193440001929,178600
2015-05-28,120.93184661865234,121.75807928726218,120.26521291535114,120.93184661865234,311500
2015-05-29,120.87552642822266,121.64542675715377,120.18072644586029,120.49995306208395,229600
2015-06-01,121.4764404296875,121.88956400632375,119.88028571480298,120.88492127889829,210700
2015-06-02,121.13846588134766,121.36379565856033,120.30283452863378,121.23234851296482,143000
2015-06-03,121.20416259765625,121.75811731218378,120.93188438554235,121.35439197583179,252200
2015-06-04,121.62663269042969,121.69236339561496,120.80040001851596,121.19474126965474,348100
2015-06-05,123.18524932861328,123.9363817804937,120.88491783514064,121.5984857847641,871100
2015-06-08,122.71577453613281,124.06780987704464,122.31204932201322,122.87538782962133,290700
2015-06-09,123.09134674072266,123.36362486790802,121.94587316108682,122.90355291324852,320800
2015-06-10,123.66409301757812,124.0678182589731,123.12890635620302,123.45753125283602,305400
2015-06-11,123.6922607421875,124.98794944173805,123.2697389194435,123.93637268229787,201100
