Price,Close,High,Low,Open,Volume
Ticker,WYNN,WYNN,WYNN,WYNN,WYNN
Date,,,,,
2015-01-02,126.26713562011719,128.2786043121637,122.19261101713305,127.72845869254827,2228900
2015-01-05,124.11815643310547,125.64824970738626,121.92616475071155,125.2614307320248,1695100
2015-01-06,121.47056579589844,124.07516329388835,119.70837603662761,123.35309951784343,1975800
2015-01-07,125.03791809082031,126.54222406194107,123.13818877888467,123.97200513791218,1472000
2015-01-08,126.54225158691406,128.10672331659367,125.83737033977106,126.41330317715106,1676600
2015-01-09,128.1238555908203,130.333028925398,127.82298923359409,128.98345876403414,2210100
2015-01-12,127.61675262451172,128.51073457200928,126.15541605255875,128.10671984209424,1250400
2015-01-13,128.7771759033203,131.974901418079,127.31585283005035,129.12961642516075,1627700
2015-01-14,127.73705291748047,128.36455964055043,124.99491634999642,127.00638488137473,1378800
2015-01-15,126.92047119140625,129.8001486091404,126.56804367035326,128.4247775494592,1061600
2015-01-16,126.35311126708984,127.10955335650313,124.10954581908216,124.90897070274224,957800
2015-01-20,122.08946228027344,126.35310065109105,118.71981873525108,126.33590491153565,2520700
2015-01-21,122.82874298095703,123.71413353224372,119.42470736658153,119.42470736658153,1605000
2015-01-22,126.5594253540039,126.92045726634478,123.55941739794196,123.8946622534377,1409400
2015-01-23,125.51067352294922,126.76570011633025,124.48775661045686,125.9662622241239,964700
2015-01-26,133.95201110839844,134.70846636382316,126.22417114475358,126.22417114475358,2587100
2015-01-27,133.2729034423828,135.60243439404428,131.60528388830272,133.92621041152384,1739600
2015-01-28,131.93194580078125,134.74285300987776,131.33022595450143,134.48496932818387,1740300
2015-01-29,131.4935302734375,135.15543595546148,128.5880666476562,132.5422474478376,1418500
2015-01-30,127.17832946777344,130.08379336406125,126.9290502352761,129.70556574247257,1738100
2015-02-02,128.71701049804688,128.759980172391,125.0207134655213,127.41040973193188,1211300
2015-02-03,133.9262237548828,134.90617118972187,127.30727963419743,128.6310632117313,2386800
2015-02-04,125.59664916992188,133.15255703627346,123.94621227015753,130.23850213072748,4808700
2015-02-05,126.05223083496094,127.39320992099682,124.16969745783139,125.94047820562268,1760000
2015-02-06,125.70844268798828,127.98638711732774,125.14969244473711,127.90042150559347,1464500
2015-02-09,127.60812377929688,128.57947983131095,125.08088765153052,125.27000145132985,1295700
2015-02-10,132.9376678466797,134.42479125404003,129.61100670370345,129.9978256315948,2354800
2015-02-11,131.27976989746094,133.25017206990782,130.63742827264642,133.07657016305905,1126600
2015-02-12,134.3004608154297,134.53483063140396,130.75892693671148,131.82659105063473,2591600
2015-02-13,138.31076049804688,139.2395513236557,134.30917454995833,134.96019170043925,2153900
2015-02-17,136.27957153320312,138.19790763544086,134.3872882988019,137.7638962611313,1810900
